date,date_block_num,shop_id,item_id,item_price,item_cnt_day
02.01.2013,0,59,22154,999.0,1.0
03.01.2013,0,25,2552,899.0,1.0
05.01.2013,0,25,2552,899.0,-1.0
06.01.2013,0,25,2554,1709.05,1.0
15.01.2013,0,25,2555,1099.0,1.0
10.01.2013,0,25,2564,349.0,1.0
02.01.2013,0,25,2565,549.0,1.0
04.01.2013,0,25,2572,239.0,1.0
11.01.2013,0,25,2572,299.0,1.0
03.01.2013,0,25,2573,299.0,3.0
03.01.2013,0,25,2574,399.0,2.0
05.01.2013,0,25,2574,399.0,1.0
07.01.2013,0,25,2574,399.0,1.0
08.01.2013,0,25,2574,399.0,2.0
10.01.2013,0,25,2574,399.0,1.0
11.01.2013,0,25,2574,399.0,2.0
13.01.2013,0,25,2574,399.0,1.0
16.01.2013,0,25,2574,399.0,1.0
26.01.2013,0,25,2574,399.0,1.0
27.01.2013,0,25,2574,399.0,1.0
09.01.2013,0,25,2593,279.0,1.0
16.01.2013,0,25,2604,299.0,1.0
27.01.2013,0,25,2604,299.0,1.0
27.01.2013,0,25,2607,279.0,1.0
29.01.2013,0,25,2607,279.0,1.0
27.01.2013,0,25,2609,1699.0,1.0
06.01.2013,0,25,2548,1708.95,1.0
26.01.2013,0,25,2611,299.0,1.0
02.01.2013,0,25,2546,299.0,1.0
06.01.2013,0,25,2515,1649.0,1.0
07.01.2013,0,25,2705,1799.0,1.0
11.01.2013,0,25,2705,1799.0,1.0
26.01.2013,0,25,2705,1799.0,1.0
02.01.2013,0,25,2715,899.0,1.0
12.01.2013,0,25,2715,898.5,1.0
02.01.2013,0,25,2716,149.0,1.0
23.01.2013,0,25,2716,149.0,1.0
02.01.2013,0,25,2719,2699.0,1.0
12.01.2013,0,25,2719,2699.0,1.0
25.01.2013,0,25,2719,1699.0,1.0
30.01.2013,0,25,2720,1699.0,1.0
05.01.2013,0,25,2473,899.0,1.0
02.01.2013,0,25,2480,58.0,1.0
02.01.2013,0,25,2731,599.0,1.0
19.01.2013,0,25,2731,599.0,1.0
06.01.2013,0,25,2746,299.0,1.0
07.01.2013,0,25,2746,299.0,1.0
10.01.2013,0,25,2746,299.0,2.0
12.01.2013,0,25,2746,299.0,1.0
20.01.2013,0,25,2746,299.0,1.0
24.01.2013,0,25,2746,299.0,1.0
25.01.2013,0,25,2746,299.0,1.0
04.01.2013,0,25,2748,1399.0,1.0
23.01.2013,0,25,2748,799.0,1.0
